,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
389,3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
38,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
105,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
495,2730000,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
479,2940000,3660,4,1,2,no,no,no,no,no,0,no,unfurnished
451,3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished
166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
415,3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
499,2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
75,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
326,3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
354,3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
295,4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
308,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
219,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
69,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
160,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
426,3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished
138,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
510,2520000,2880,3,1,1,no,no,no,no,no,0,no,unfurnished
58,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
417,3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
208,4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
57,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
87,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
170,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
339,3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
